SITE_NAME,Swipe_Checkbox?,Imported count,Screenshot name,LOGO Replaced,CSS saved,Redirect done,Undo Swipe,Undo CSS,Undo Redirect,PD_Site_URL,Merchant Code
PUNJ1201,UNCH,0,240826-223315_PUNJ1201_after.png,Error,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/644,35EDM-CARTU-CRTUP-W
PTNJ1201,UNCH,0,240826-223339_PTNJ1201_after.png,Error,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/645,35EDM-CARTT-CBTAX-W
PTNJ2009,UNCH,0,240826-223402_PTNJ2009_after.png,Error,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/656,35EDM-LINDT-LNTAX-W
PUNJ2009,UNCH,0,240826-223426_PUNJ2009_after.png,Error,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/657,35EDM-LINDE-LNNON-W
PTNJ0322,UNCH,0,240826-223450_PTNJ0322_after.png,Error,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/660,35EDM-MOORE-TMTAX-W
PUNJ0322,UNCH,0,240826-223513_PUNJ0322_after.png,Error,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/661,35EDM-MRSUT-TMUTL-W
PTNJ1353,UNCH,0,240826-223537_PTNJ1353_after.png,Error,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/663,35EDM-WLBBR-WLBTX-W
PTDECHSW,UNCH,0,240826-223601_PTDECHSW_after.png,Error,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/667,35EDM-CHESW-WBTAX-W
VTDECHSW,UNCH,0,240826-223624_VTDECHSW_after.png,Error,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/668,35EDM-CHESW-VTTAX-W
PTNJ0266,UNCH,0,240826-223648_PTNJ0266_after.png,Error,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/670,35EDM-WABER-WATAX-W
PTNJ0335,UNCH,0,240826-223712_PTNJ0335_after.png,Error,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/672,35EDM-TABER-TTTAX-W
PTNJ0220,UNCH,0,240826-223736_PTNJ0220_after.png,Error,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/673,35EDM-FRANK-FLTAX-W
PTNJ0802,UNCH,0,240826-223759_PTNJ0802_after.png,Error,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/674,35EDM-DTFRD-DTFTX-W
PTNJ0270,UNCH,0,240826-223823_PTNJ0270_after.png,Error,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/678,35EDM-WTTAX-WYTAX-W
PUNJ0270,UNCH,0,240826-223846_PUNJ0270_after.png,Error,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/679,35EDM-WYCTW-WNONT-W
PTNJ0408,UNCH,0,240826-223911_PTNJ0408_after.png,Error,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/683,35EDM-CAMDE-CATAX-W
PTNJ0318,UNCH,0,240826-223935_PTNJ0318_after.png,Error,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/684,35EDM-MANSF-MATAX-W
PUNYCONK,UNCH,0,240826-223959_PUNYCONK_after.png,Error,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/703,35EDM-CONKL-NTPRI-W
PTNJ1334,UNCH,0,240826-224023_PTNJ1334_after.png,Error,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/704,35EDM-MBWEB-MBTAX-W
PTNJ0504,UNCH,0,240826-224047_PTNJ0504_after.png,Error,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/722,35EDM-DENNI-DATAX-W
PTNJ0217,UNCH,0,240826-224110_PTNJ0217_after.png,Error,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/724,35EDM-FAIRL-FLTAX-W
PUNJ0217,UNCH,0,240826-224135_PUNJ0217_after.png,Error,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/725,35EDM-FAIRN-NTWEB-W
VTNJ0217,UNCH,0,240826-224158_VTNJ0217_after.png,Error,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/726,35EDM-FAIRL-VTTAX-W
VUNJ0217,UNCH,0,240826-224222_VUNJ0217_after.png,Error,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/727,35EDM-FAIRN-NTVTP-W
PMVATSH,UNCH,0,240826-224246_PMVATSH_after.png,Error,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/728,35EDM-SHVAM-MISCE-W
PTNJ0718,UNCH,0,240826-224310_PTNJ0718_after.png,Error,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/730,35EDM-ROSET-ROTAX-W
