SITE_NAME,Swipe_Checkbox?,Imported count,Screenshot name,LOGO Replaced,CSS saved,Redirect done,Undo Swipe,Undo CSS,Undo Redirect,PD_Site_URL,Merchant Code
VUFLEUST,Done,0,210826-211048_VUFLEUST_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/319,35EDM-EUSTS-EUSVT-W
VTFLEUST,Done,0,210826-211052_VTFLEUST_after.png,Error,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/325,35EDM-EUTAX-TAXVT-W
PUNCBURG,Done,0,210826-211116_PUNCBURG_after.png,Error,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/329,35EDM-BURGA-BPRIN-W
PTNJ0302,Done,0,210826-211139_PTNJ0302_after.png,Error,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/330,35EDM-COBEV-BPRIN-W
PUVATSH,Done,0,210826-211203_PUVATSH_after.png,Error,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/341,35EDM-SHUTL-UTLTY-W
PUKYOAKG,Done,0,210826-211227_PUKYOAKG_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/345,35EDM-OAKGR-UTILI-W
PTGAACWR,Done,0,210826-211232_PTGAACWR_after.png,Error,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/346,35EDM-ACWOR-ACTAX-W
PUGAACWR,Done,0,210826-211255_PUGAACWR_after.png,Error,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/347,35EDM-AWRTH-AWUTI-W
PUGAMCIN,Done,0,210826-211319_PUGAMCIN_after.png,Error,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/348,35EDM-MCITS-MCUTL-W
PTPANCSL,Done,0,210826-211342_PTPANCSL_after.png,Error,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/349,35EDM-NEWCA-NCTAX-W
PTNJ1515,Done,0,210826-211406_PTNJ1515_after.png,Error,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/350,35EDM-LAKWD-LATAX-W
PTNJ2005,Done,0,210826-211430_PTNJ2005_after.png,Error,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/352,35EDM-BFNWD-FWTAX-W
VUNJ1519,Done,0,210826-211454_VUNJ1519_after.png,Error,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/357,35EDM-MNCHU-MTUVT-W
VTNJ1519,Done,0,210826-211517_VTNJ1519_after.png,Error,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/358,35EDM-MNCHR-MTXVT-W
PUNJ1519,Done,0,210826-211541_PUNJ1519_after.png,Error,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/359,35EDM-MNCHU-MTUTL-W
PTNJ1519,Done,0,210826-211604_PTNJ1519_after.png,Error,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/360,35EDM-MNCHR-MTTAX-W
PTMDHAVR,Done,0,210826-211628_PTMDHAVR_after.png,Error,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/361,35EDM-HAVRD-HATAX-W
PUMDHAVR,Done,0,210826-211651_PUMDHAVR_after.png,Error,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/362,35EDM-HAVRE-HAUTL-W
PUNJBRCK,Done,0,210826-211715_PUNJBRCK_after.png,Error,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/365,35EDM-BTMUA-BTMUA-W
PTNJ0601,Done,0,210826-211738_PTNJ0601_after.png,Error,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/366,35EDM-BRIDG-BRTAX-W
PUNJ0601,Done,0,210826-211801_PUNJ0601_after.png,Error,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/367,35EDM-BRUTL-BRUTL-W
PTNJ0805,Done,0,210826-211825_PTNJ0805_after.png,Error,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/370,35EDM-TWNFR-TWNFR-W
PTNJ0416,Done,0,210826-211849_PTNJ0416_after.png,Error,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/371,35EDM-THADN-THTAX-W
PUNJ0416,Done,0,210826-211913_PUNJ0416_after.png,Error,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/372,35EDM-THUTL-THUTL-W
PTNJ0317,Done,0,210826-211936_PTNJ0317_after.png,Error,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/373,35EDM-LMBTN-LMBTN-W
PTNJ0507,Done,0,210826-211959_PTNJ0507_after.png,Error,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/374,35EDM-CNWIL-CNWTX-W
PUNJ0507,Done,0,210826-212023_PUNJ0507_after.png,Error,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/375,35EDM-CNWUT-CNWUT-W
PTNJ1112,Done,0,210826-212046_PTNJ1112_after.png,Error,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/376,35EDM-TROBB-TRTAX-W
PUNJ1112,Done,0,210826-212110_PUNJ1112_after.png,Error,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/377,35EDM-TRUTL-TRUTL-W
PTNJ0515,Done,0,210826-212134_PTNJ0515_after.png,Error,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/378,35EDM-BWLDC-BWCTX-W
PUNJ0515,Done,0,210826-212158_PUNJ0515_after.png,Error,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/379,35EDM-BWCUT-BWCUT-W
PUNJMPWA,Done,0,210826-212222_PUNJMPWA_after.png,Error,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/380,35EDM-MPWCU-MPWCU-W
PUNJACSC,Done,0,210826-212245_PUNJACSC_after.png,Error,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/381,35EDM-ACSCO-ACSCO-W
PTNJ0323,Done,0,210826-212309_PTNJ0323_after.png,Error,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/382,35EDM-HOLLY-MHTAX-W
PTNJ0338,Done,0,210826-212332_PTNJ0338_after.png,Error,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/383,35EDM-WILLI-WITAX-W
PTNJ0511,Done,0,210826-212356_PTNJ0511_after.png,Error,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/384,35EDM-UPPER-UPTAX-W
PTNJ1225,Done,0,210826-212420_PTNJ1225_after.png,Error,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/385,35EDM-WOODB-WBTAX-W
PUNJ1225,Done,0,210826-212443_PUNJ1225_after.png,Error,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/386,35EDM-WBUTL-WBUTL-W
PTNJ1512,Done,0,210826-212506_PTNJ1512_after.png,Error,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/387,35EDM-JACKS-JTTAX-W
PTNJ1508,Done,0,210826-212529_PTNJ1508_after.png,Error,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/388,35EDM-TOMSR-TRTAX-W
PTNJ1526,Done,0,210826-212553_PTNJ1526_after.png,Error,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/390,35EDM-POINT-PLTAX-W
PUNJ1526,Done,0,210826-212617_PUNJ1526_after.png,Error,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/391,35EDM-PPUTL-PPUTL-W
PTNJ0703,Done,0,210826-212640_PTNJ0703_after.png,Error,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/392,35EDM-CALDW-CBTAX-W
PTNJ1108,Done,0,210826-212704_PTNJ1108_after.png,Error,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/394,35EDM-PENNI-PBTAX-W
PUNJ1108,Done,0,210826-212728_PUNJ1108_after.png,Error,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/395,35EDM-PEUTL-PEUTL-W
PTNJ1205,Done,0,210826-212752_PTNJ1205_after.png,Error,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/396,35EDM-EDISN-EDTAX-W
PUNJ1205,Done,0,210826-212816_PUNJ1205_after.png,Error,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/397,35EDM-EDUTL-EDUTL-W
PUNJLKWD,Done,0,210826-212839_PUNJLKWD_after.png,Error,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/398,35EDM-LAKEW-LAUTL-W
PTNJ1106,Done,0,210826-212902_PTNJ1106_after.png,Error,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/399,35EDM-HOPEW-HOTAX-W
PUNJ1106,Done,0,210826-212926_PUNJ1106_after.png,Error,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/400,35EDM-HOUTL-HOUTL-W
PTNJ2008,Done,1,210826-213524_PTNJ2008_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/401,35EDM-KENIL-KBTAX-W
PTNJ1310,Done,1,210826-213528_PTNJ1310_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/402,35EDM-COLTS-CNTAX-W
PUNJ1611,Done,1,210826-213532_PUNJ1611_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/403,35EDM-RIUTL-RIUTL-W
PTNJ1611,Done,1,210826-213537_PTNJ1611_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/404,35EDM-RINGW-RBTAX-W
