SITE_NAME,Swipe_Checkbox?,Imported count,Screenshot name,LOGO Replaced,CSS saved,Redirect done,Undo Swipe,Undo CSS,Undo Redirect,PD_Site_URL,Merchant Code
PUNJ0702,UNCH,0,240826-221334_PUNJ0702_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/942,35EDM-BLMNT-BLMNT-W
PUNJ0306,UNCH,0,240826-221338_PUNJ0306_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/943,35EDM-BRLNT-BRLNT-W
PUNJ0113,UNCH,0,240826-221343_PUNJ0113_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/944,35EDM-HAMNT-HAMNT-W
PUNJ0703,UNCH,0,240826-221347_PUNJ0703_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/945,35EDM-CLDNT-CLDNT-W
PUNJ1518,UNCH,0,240826-221351_PUNJ1518_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/946,35EDM-LNGBN-LNGBN-W
PUNJ0610,UNCH,0,240826-221357_PUNJ0610_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/947,35EDM-MVLNT-MVLNT-W
PUNJ1424,UNCH,0,240826-221401_PUNJ1424_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/948,35EDM-MRSNT-MRSNT-W
PUNJNBMA,UNCH,1,240826-221407_PUNJNBMA_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/1798,35EDM-NORTM-NOUTL-W
PMNJ0908,UNCH,1,240826-221411_PMNJ0908_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/1799,35EDM-NORTB-MISAG-W
VMNJ0908,Done,1,240826-221416_VMNJ0908_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/1800,35EDM-NORTB-MISAV-W
PUFLUMAT,UNCH,1,240826-221420_PUFLUMAT_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/1861,35EDM-UMATI-NTWEB-W
PUNJTRWR,UNCH,1,240826-221424_PUNJTRWR_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/2150,35EDM-TRWRA-NTXPR-W
PUNJTRUA,UNCH,1,240826-221428_PUNJTRUA_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/2181,35EDM-TRMUA-NTXWB-W
VMNJ1529,Done,0,Step1_ImportSites_20260824_221137.png,Error,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/2299,35EDM-SHIPN-NTXVT-W
VAVAFRNK,Done,1,240826-221503_VAVAFRNK_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/2390,35EDM-FRKVA-NVTAR-W
PAVAFRNK,UNCH,1,240826-221508_PAVAFRNK_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/2391,35EDM-FRKVA-NOARW-W
VMVAFRNK,Done,1,240826-221512_VMVAFRNK_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/2392,35EDM-FRKVA-NVMIS-W
VUVAFRNK,Done,1,240826-221517_VUVAFRNK_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/2393,35EDM-FRKVA-NVTWB-W
PTVAFRNK,UNCH,1,240826-221521_PTVAFRNK_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/2395,35EDM-FRKVA-TAXWB-W
VTVAFRNK,Done,1,240826-221525_VTVAFRNK_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/2396,35EDM-FRKVA-TAXVT-W
PTNJ2002,UNCH,1,240826-221529_PTNJ2002_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/2720,35EDM-CLARK-CLNTX-W
PUNJ2002,UNCH,1,240826-221534_PUNJ2002_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/2721,35EDM-CLUTL-SEWNT-W
PTDEBTHB,UNCH,1,240826-221538_PTDEBTHB_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/2743,35EDM-BETHT-TXWBA-W
PUGAGUYT,UNCH,1,240826-221543_PUGAGUYT_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/2753,35EDM-GUYGA-AFNTW-W
PTNJ0229,UNCH,1,240826-221547_PTNJ0229_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/3186,35EDM-LEONI-TAXWB-W
VAPAUMTA,Done,1,240826-221551_VAPAUMTA_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/3334,35EDM-UPMAC-AFARV-W
VMPAUMTA,Done,1,240826-221555_VMPAUMTA_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/3339,35EDM-UPMAC-AFMSV-W
PTVAABIN,UNCH,1,240826-221600_PTVAABIN_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/3390,35EDM-ABICO-TAXWB-W
PUKYPIKE,UNCH,1,240826-221604_PUKYPIKE_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/3408,35EDM-PIKVL-PUKY1-W
VMKYPIKE,Done,1,240826-221609_VMKYPIKE_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/3410,35EDM-PIKVL-VMKY1-W
VUKYPIKE,Done,1,240826-221613_VUKYPIKE_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/3412,35EDM-PIKVL-VUKY1-W
PTNJ0313,UNCH,1,240826-221617_PTNJ0313_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/3612,35EDM-EVESH-TXWBP-W
