SITE_NAME,Swipe_Checkbox?,Imported count,Screenshot name,LOGO Replaced,CSS saved,Redirect done,Undo Swipe,Undo CSS,Undo Redirect,PD_Site_URL,Merchant Code
PRNCBELM,UNCH,1,250826-212323_PRNCBELM_after.png,Yes,Yes,Error,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/2498,35EDM-BELMO-PARKS-W
PRNJ1531,UNCH,1,250826-212327_PRNJ1531_after.png,Yes,Yes,Error,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/2500,35EDM-STAFF-PRKRC-W
PRNYWARV,UNCH,1,250826-212332_PRNYWARV_after.png,Yes,Yes,Error,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/2526,35EDM-WARWI-PARKS-W
PRNJ1209,UNCH,1,250826-212337_PRNJ1209_after.png,Yes,Yes,Error,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/2551,35EDM-METUC-PRWEB-W
PRNJ1311,UNCH,1,250826-212342_PRNJ1311_after.png,Yes,Yes,Error,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/2583,35EDM-DEALB-PRKWB-W
PRNCWHIT,Done,1,250826-212346_PRNCWHIT_after.png,Yes,Yes,Error,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/2671,35EDM-WHITE-0RKRC-W
PRNJ0717,UNCH,1,250826-212351_PRNJ0717_after.png,Yes,Yes,Error,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/2806,35EDM-ORANJ-PRWEB-W
PRNJ0507,UNCH,1,250826-212356_PRNJ0507_after.png,Yes,Yes,Error,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/2970,35EDM-CNWUT-PARKR-W
PRNJ1103,UNCH,1,250826-212400_PRNJ1103_after.png,Yes,Yes,Error,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/3083,35EDM-HAMNO-PARKS-W
PRNJ1612,UNCH,1,250826-212405_PRNJ1612_after.png,Yes,Yes,Error,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/3089,35EDM-TOTOW-PARKS-W
PRNJ1405,UNCH,1,250826-212410_PRNJ1405_after.png,Yes,Yes,Error,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/3097,35EDM-CHATH-PARKP-W
PRNJ0624,UNCH,1,250826-212414_PRNJ0624_after.png,Yes,Yes,Error,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/3116,35EDM-WALWI-PRWEB-W
PRPAWASH,UNCH,1,250826-212419_PRPAWASH_after.png,Yes,Yes,Error,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/3272,35EDM-WASHC-PRWEB-W
PRALMLTN,UNCH,1,250826-212423_PRALMLTN_after.png,Yes,Yes,Error,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/3351,35EDM-MOULT-PRWEB-W
PRGAMONR,UNCH,1,250826-212428_PRGAMONR_after.png,Error,Yes,Error,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/3372,35EDM-MONCO-PRKWP-W
PRNJ1519,UNCH,1,250826-212433_PRNJ1519_after.png,Yes,Yes,Error,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/3403,35EDM-MNCHR-PARKP-W
PRNJ0319,UNCH,1,250826-212437_PRNJ0319_after.png,Error,Yes,Error,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/3431,35EDM-MAPSH-PRNJ1-W
PRNJ0427,UNCH,1,Step1_ImportSites_20260825_211816.png,Error,Yes,Error,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/3435,35EDM-PENTW-PARWB-W
PRNJ1306,UNCH,1,Step1_ImportSites_20260825_211816.png,Error,Yes,Error,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/3442,35EDM-AVSEA-PRNJ1-W
PRPARIDL,UNCH,1,Step1_ImportSites_20260825_211816.png,Error,Yes,Error,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/3548,35EDM-RIDLY-PRKWP-W
PRPACAVB,UNCH,1,Step1_ImportSites_20260825_211816.png,Error,Yes,Error,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/3596,35EDM-CARVA-PRPA1-W
PRNJ1307,UNCH,2,Step1_ImportSites_20260825_211816.png,Error,Yes,Error,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/3605,35EDM-BELMA-PRNJ1-W
PRNCOAKI,UNCH,1,Step1_ImportSites_20260825_211816.png,Error,Yes,Error,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/3625,35EDM-OAKIS-PARWB-W
PRNYNPLZ,UNCH,1,Step1_ImportSites_20260825_211816.png,Error,Yes,Error,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/3638,35EDM-NPTNY-PRWEB-W
PRNJ1610,UNCH,1,Step1_ImportSites_20260825_211816.png,Error,Yes,Error,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/3659,35EDM-PROSP-PRNJ1-W
PRNJ1513,UNCH,1,Step1_ImportSites_20260825_211816.png,Error,Yes,Error,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/3668,35EDM-LATWP-PRKWP-W
PRNCARCL,UNCH,1,Step1_ImportSites_20260825_211816.png,Error,Yes,Error,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/3687,35EDM-ARCHE-PARKS-W
PRNJ0215,UNCH,1,Step1_ImportSites_20260825_211816.png,Error,Yes,Error,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/3692,35EDM-ENGWO-PRKPR-W
PRNJ1342,UNCH,1,Step1_ImportSites_20260825_211816.png,Error,Yes,Error,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/3704,35EDM-SBBTX-PRNJ1-W
PRNJ0302,UNCH,1,Step1_ImportSites_20260825_211816.png,Error,Yes,Error,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/3713,35EDM-MEDTU-PRKWP-W
PRLADERI,UNCH,1,Step1_ImportSites_20260825_211816.png,Error,Yes,Error,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/3722,35EDM-DERCI-PARKS-W
PRNJ1912,UNCH,1,Step1_ImportSites_20260825_211816.png,Error,Yes,Error,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/3752,35EDM-HOPAU-PARKP-W
PRNCCOCO,UNCH,1,Step1_ImportSites_20260825_211816.png,Error,Yes,Error,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/3816,35EDM-COLCO-PARWB-W
PRNJ1601,UNCH,1,Step1_ImportSites_20260825_211816.png,Error,Yes,Error,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/3857,35EDM-BLMNG-PRNJ1-W
PRGADAWS,UNCH,1,Step1_ImportSites_20260825_211816.png,Error,Yes,Error,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/3858,35EDM-DAWSN-PRGA1-W
PRNJ0116,UNCH,1,Step1_ImportSites_20260825_211816.png,Error,Yes,Error,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/3869,35EDM-MARGN-PRKSP-W
PRNCBHIS,UNCH,1,Step1_ImportSites_20260825_211816.png,Error,Yes,Error,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/3872,35EDM-BHEAD-PKRCP-W
PRMDEAST,UNCH,1,Step1_ImportSites_20260825_211816.png,Error,Yes,Error,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/3893,35EDM-EASTO-PRWEB-W
PRPACHST,UNCH,1,Step1_ImportSites_20260825_211816.png,Error,Yes,Error,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/3909,35EDM-CHECI-PARKS-W
PRMDDORC,UNCH,1,Step1_ImportSites_20260825_211816.png,Error,Yes,Error,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/4061,35EDM-DORCH-PRMD1-W
PRNCBEEC,UNCH,1,Step1_ImportSites_20260825_211816.png,Error,Yes,Error,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/4074,35EDM-BEMNC-PRNC1-W
PRFLIHBC,UNCH,1,Step1_ImportSites_20260825_211816.png,Error,Yes,Error,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/4141,35EDM-INHRB-PRFL1-W
PRVACARR,UNCH,1,Step1_ImportSites_20260825_211816.png,Error,Yes,Error,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/4161,35EDM-CARCO-PRVA1-W
PRPADOYL,UNCH,1,Step1_ImportSites_20260825_211816.png,Error,Yes,Error,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/4278,35EDM-DOYPA-PRPA1-W
PRPATHRN,UNCH,1,Step1_ImportSites_20260825_211816.png,Error,Yes,Error,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/4300,35EDM-TTDCP-PRPA1-W
PRKYCROL,UNCH,1,Step1_ImportSites_20260825_211816.png,Error,Yes,Error,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/4309,35EDM-CARKY-PRKY1-W
PRNJ1821,UNCH,1,Step1_ImportSites_20260825_211816.png,Error,Yes,Error,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/4366,35EDM-WATCH-PRNJ1-W
PRVAFARM,UNCH,1,Step1_ImportSites_20260825_211816.png,Error,Yes,Error,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/4376,35EDM-FARMV-PRVA1-W
PRVAGRAY,UNCH,1,Step1_ImportSites_20260825_211816.png,Error,Yes,Error,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/4416,35EDM-GRAYT-PRVA1-W
PRNJ0701,UNCH,1,Step1_ImportSites_20260825_211816.png,Error,Yes,Error,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/4419,35EDM-BELTX-PRNJ1-W
PRNYSEFA,Error,NA,NA,Error,Error,Error,NA,NA,NA,NA,NA
PRNYPEND,Error,NA,NA,Error,Error,Error,NA,NA,NA,NA,NA
PRNJ0261,Error,NA,NA,Error,Error,Error,NA,NA,NA,NA,NA
PRINMART,Error,NA,NA,Error,Error,Error,NA,NA,NA,NA,NA
PRMOMILA,Error,NA,NA,Error,Error,Error,NA,NA,NA,NA,NA
PRNHCAMP,Error,NA,NA,Error,Error,Error,NA,NA,NA,NA,NA
PRNJ0417,Error,NA,NA,Error,Error,Error,NA,NA,NA,NA,NA
PRNCNPRT,Error,NA,NA,Error,Error,Error,NA,NA,NA,NA,NA
PRNJ1331,Error,NA,NA,Error,Error,Error,NA,NA,NA,NA,NA
PRIAGUTN,Error,NA,NA,Error,Error,Error,NA,NA,NA,NA,NA
PRPANSEW,Error,NA,NA,Error,Error,Error,NA,NA,NA,NA,NA
PRMOLARC,Error,NA,NA,Error,Error,Error,NA,NA,NA,NA,NA
PRIAINDT,Error,NA,NA,Error,Error,Error,NA,NA,NA,NA,NA
PRKYCALV,Error,NA,NA,Error,Error,Error,NA,NA,NA,NA,NA
PRWVPARS,Error,NA,NA,Error,Error,Error,NA,NA,NA,NA,NA
PRGAESMN,Error,NA,NA,Error,Error,Error,NA,NA,NA,NA,NA
PRIADIKE,Error,NA,NA,Error,Error,Error,NA,NA,NA,NA,NA
PRVAFRNK,Error,NA,NA,Error,Error,Error,NA,NA,NA,NA,NA
PRFLMNLA,Error,NA,NA,Error,Error,Error,NA,NA,NA,NA,NA
PRNJ1532,Error,NA,NA,Error,Error,Error,NA,NA,NA,NA,NA
PRDESFRD,Error,NA,NA,Error,Error,Error,NA,NA,NA,NA,NA
PPPACAVB,Error,NA,NA,Error,Error,Error,NA,NA,NA,NA,NA
PRNJ1604,Error,NA,NA,Error,Error,Error,NA,NA,NA,NA,NA
