SITE_NAME,Swipe_Checkbox?,Imported count,Screenshot name,LOGO Replaced,CSS saved,Redirect done,Undo Swipe,Undo CSS,Undo Redirect,PD_Site_URL,Merchant Code
PTNJ1416,UNCH,1,240826-204428_PTNJ1416_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/455,35EDM-LCOLN-LCTAX-W
PUNJ1416,UNCH,1,240826-204432_PUNJ1416_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/456,35EDM-LCUTL-LCUTL-W
PTNJ1329,UNCH,1,240826-204436_PTNJ1329_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/457,35EDM-MANAS-MATAX-W
PUNJ1329,UNCH,1,240826-204440_PUNJ1329_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/458,35EDM-MANAT-MANAT-W
PTNJ1328,UNCH,1,240826-204444_PTNJ1328_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/459,35EDM-MAPAN-MATAX-W
PUNJ1320,UNCH,1,240826-204449_PUNJ1320_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/460,35EDM-HOLUT-HOLUT-W
PTNJ1438,UNCH,1,240826-204453_PTNJ1438_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/461,35EDM-WMRRS-WMTAX-W
PUNJMTUA,UNCH,1,240826-204457_PUNJMTUA_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/462,35EDM-MOUTL-MOUTL-W
PUNJCRDA,UNCH,1,240826-204501_PUNJCRDA_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/463,35EDM-CRDUT-CRDUT-W
PTNJ1222,UNCH,1,240826-204506_PTNJ1222_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/464,35EDM-SPLTX-SPTAX-W
PUNJ1222,UNCH,1,240826-204510_PUNJ1222_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/465,35EDM-SPLUT-SPLUT-W
PTNJ0327,UNCH,1,240826-204514_PTNJ0327_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/466,35EDM-PATAX-PATAX-W
PUNJ0327,UNCH,1,240826-204519_PUNJ0327_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/467,35EDM-PALUT-PALUT-W
PTVATSH,UNCH,1,240826-204523_PTVATSH_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/468,35EDM-SHILL-SOTAX-W
PTNJ0711,UNCH,1,240826-204527_PTNJ0711_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/469,35EDM-MAPLE-MPTAX-W
PUNJ0711,UNCH,1,240826-204531_PUNJ0711_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/470,35EDM-MAUTL-MPUTL-W
PTNJ1533,UNCH,1,240826-204536_PTNJ1533_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/471,35EDM-TUCKE-TUTAX-W
PUNJ1533,UNCH,1,240826-204541_PUNJ1533_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/472,35EDM-TUUTL-TKUTL-W
PTNJ1212,UNCH,1,240826-204546_PTNJ1212_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/473,35EDM-MONRO-MOTAX-W
PTNJ0321,UNCH,1,240826-204550_PTNJ0321_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/474,35EDM-MEDFD-MDTAX-W
PUNJ0321,UNCH,1,240826-204554_PUNJ0321_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/475,35EDM-MEDUT-MEDUT-W
PTNJ0248,UNCH,1,240826-204558_PTNJ0248_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/476,35EDM-RAMSY-RMTAX-W
PUNJ0248,UNCH,1,240826-204603_PUNJ0248_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/477,35EDM-RAUTL-RAUTL-W
PTNJ0509,UNCH,1,240826-204607_PTNJ0509_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/478,35EDM-SEACY-SETAX-W
PUNJ0509,UNCH,1,240826-204611_PUNJ0509_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/479,35EDM-SEAUT-SEUTL-W
PTNJ0320,UNCH,1,240826-204615_PTNJ0320_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/480,35EDM-MEDTW-TWTAX-W
PUNJ0320,UNCH,1,240826-204620_PUNJ0320_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/481,35EDM-MEDTU-MDUTL-W
PTNJ2102,UNCH,1,240826-204624_PTNJ2102_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/482,35EDM-ALPHA-ALTAX-W
PUNJ2102,UNCH,1,240826-204628_PUNJ2102_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/483,35EDM-ALPUT-ALUTL-W
PUPAMNRV,UNCH,1,240826-204632_PUPAMNRV_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/484,35EDM-MINER-PUPA1-W
PTNJ1207,UNCH,1,240826-204636_PTNJ1207_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/487,35EDM-HIGHL-NDTAX-W
PUNJ1207,UNCH,1,240826-204641_PUNJ1207_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/488,35EDM-HIGUT-HIUTL-W
PTNJ1324,UNCH,1,240826-204645_PTNJ1324_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/489,35EDM-KEYPT-KYTAX-W
PUNJ1324,UNCH,1,240826-204649_PUNJ1324_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/490,35EDM-KEYUT-KYUTL-W
PTNJ1318,UNCH,1,240826-204653_PTNJ1318_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/491,35EDM-HAZLT-HATAX-W
PTNJ0269,UNCH,1,240826-204657_PTNJ0269_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/493,35EDM-WOODR-WOTAX-W
PTNJ0406,UNCH,1,240826-204702_PTNJ0406_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/495,35EDM-BERLN-BLTAX-W
PUNJ0406,UNCH,1,240826-204706_PUNJ0406_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/496,35EDM-BERUT-BEUTL-W
PTNJ0505,UNCH,1,240826-204711_PTNJ0505_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/497,35EDM-LOWER-LOTAX-W
PTNJ1410,UNCH,1,240826-204715_PTNJ1410_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/498,35EDM-EASTH-EHTAX-W
PUNJ1410,UNCH,1,240826-204719_PUNJ1410_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/499,35EDM-EASTU-ESUTL-W
PTNJ1426,UNCH,1,240826-204724_PTNJ1426_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/500,35EDM-MOUNA-MTTAX-W
PUNJ1426,UNCH,1,240826-204728_PUNJ1426_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/501,35EDM-MOUNB-MOUTL-W
PTNJ0417,UNCH,1,240826-204733_PTNJ0417_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/502,35EDM-HADDN-HDTAX-W
PTNJ0822,UNCH,1,240826-204737_PTNJ0822_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/504,35EDM-WBURY-WBTAX-W
PUNJ0822,UNCH,1,240826-204741_PUNJ0822_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/505,35EDM-WBURZ-WBUTL-W
PTNJ0428,UNCH,1,240826-204746_PTNJ0428_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/506,35EDM-PINEH-PHTAX-W
PTNJ0324,UNCH,1,240826-204751_PTNJ0324_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/507,35EDM-MOUNL-MLTAX-W
PTNJ0430,UNCH,1,240826-204755_PTNJ0430_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/508,35EDM-RUNNB-RUTAX-W
PUNJ0430,UNCH,1,240826-204759_PUNJ0430_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/509,35EDM-RUUTL-RUNUT-W
PTNJ0709,UNCH,1,240826-205437_PTNJ0709_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/512,35EDM-IRVTP-IRTAX-W
PUNJ0709,UNCH,1,240826-205441_PUNJ0709_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/513,35EDM-IRVUT-IRUTL-W
PTNJ1104,UNCH,1,240826-205446_PTNJ1104_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/514,35EDM-HIGHS-HITAX-W
PUNJ1104,UNCH,1,240826-205450_PUNJ1104_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/515,35EDM-HIGHU-HIGUT-W
PTNJ1521,UNCH,1,240826-205454_PTNJ1521_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/516,35EDM-OEANT-OETAX-W
PUNJ1521,UNCH,1,240826-205459_PUNJ1521_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/517,35EDM-OEAUT-OEUTL-W
PTNJ1811,UNCH,1,240826-205503_PTNJ1811_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/518,35EDM-MAVIL-MATAX-W
