SITE_NAME,Swipe_Checkbox?,Imported count,Screenshot name,LOGO Replaced,CSS saved,Redirect done,Undo Swipe,Undo CSS,Undo Redirect,PD_Site_URL,Merchant Code
PTDE25,UNCH,1,240826-211428_PTDE25_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/609,35EDM-TOSND-TOTAX-W
PTNJ0820,UNCH,1,240826-211433_PTNJ0820_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/610,35EDM-WDEPT-WDTAX-W
PUNJ0820,UNCH,1,240826-211437_PUNJ0820_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/611,35EDM-WDEPU-WDUTL-W
PTNJ1221,UNCH,1,240826-211442_PTNJ1221_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/612,35EDM-SBRUN-SBTAX-W
PUNJ1221,UNCH,1,240826-211446_PUNJ1221_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/613,35EDM-SBRUO-SBUTL-W
PTNJ1510,UNCH,1,240826-211450_PTNJ1510_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/614,35EDM-HARVY-HATAX-W
PUNJ1510,UNCH,1,240826-211454_PUNJ1510_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/615,35EDM-HARVZ-HAUTL-W
PUDE25,UNCH,1,240826-211458_PUDE25_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/618,35EDM-TOSNE-ABUTL-W
PUMDCAMB,UNCH,1,240826-211503_PUMDCAMB_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/622,35EDM-CAMUC-UTILI-W
PUFLLABL,UNCH,1,240826-211507_PUFLLABL_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/625,35EDM-LABEL-LBUTL-W
PTNJ2019,UNCH,1,240826-211511_PTNJ2019_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/630,35EDM-UNTWP-UTTAX-W
PUNJ2019,UNCH,1,240826-211515_PUNJ2019_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/631,35EDM-UNUTL-UTUTL-W
PTNJ1816,UNCH,1,240826-211520_PTNJ1816_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/634,35EDM-RARIT-RMTAX-W
PTNJ1616,UNCH,1,240826-211524_PTNJ1616_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/637,35EDM-WDPKB-WPBTX-W
PUNJ1616,UNCH,1,240826-211530_PUNJ1616_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/638,35EDM-WDPKU-WODPU-W
PTNJ0233,UNCH,1,240826-211535_PTNJ0233_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/639,35EDM-MAHWA-MTTAX-W
PUNJ0233,UNCH,1,240826-211541_PUNJ0233_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/640,35EDM-MAHWU-MWHUP-W
PTNJ0227,UNCH,1,240826-211546_PTNJ0227_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/641,35EDM-HILDL-HLSTX-W
PTNJ0422,UNCH,1,240826-211550_PTNJ0422_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/642,35EDM-LNDBR-LBTAX-W
PUNJ0422,UNCH,1,240826-211554_PUNJ0422_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/643,35EDM-LNDBU-LBUTL-W
PUNJ1201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PTNJ1201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PTNJ2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PUNJ2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PTNJ0322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PUNJ0322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PTNJ1353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PTDECHSW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VTDECHSW,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PTNJ0266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PTNJ0335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PTNJ0220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PTNJ0802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PTNJ0270,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PUNJ0270,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PTNJ0408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PTNJ0318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PUNYCONK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PTNJ1334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PTNJ0504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PTNJ0217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PUNJ0217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VTNJ0217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VUNJ0217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PMVATSH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PTNJ0718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PUNJ0718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PTNJ0102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PUPAUFRD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PTNJ0821,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PUNJ0821,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PUNJ1603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VTNJ0318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PTNJ1814,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PUNJ1814,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PTNJ0310,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PUNJ0310,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PTNJ1525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PUNJ1525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PUNJ1309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PTNJ1309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PUNJ0702,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PUNJ0306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PUNJ0113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PUNJ0703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PUNJ1518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PUNJ0610,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PUNJ1424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PUNJ1502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PTNJ1502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VUNJ0306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VTNJ0306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PTNJ0905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PTNJ0114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PUNJ0114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VUVATSH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PTNJ1709,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PUNJPNSV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PTNJ1202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PUNJ1202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PTNJ0514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PUNJ0514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PUNJ0808,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PTNJ0808,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PTNJ0721,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PUNJ0721,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PTNJ1327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PTNJ1529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PUNJ1529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PUNJLEHM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PTNJ0513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PUNJ0513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VTNJ0111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VUNJ0111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PUPASUNB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PUGADAWS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PMNJ0514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PTDECLAY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PUDECLAY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VTDECLAY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VUDECLAY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PTNJ0418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PTNJ1351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PTNJ1216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PTNJ1218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PTVAGRAY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PUVAGRAY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VTVAGRAY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VUVAGRAY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PTNJ1702,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PTNJ0223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PTNJ1319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PUNJ1319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PTNJ0210,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PTNJ1506,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PUNJ0510,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PUNJ1528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PTNJ1528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PTNJ0701,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PUNJ0701,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PTNJ1708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PTNJ2006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PTNYFSHK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PUNYFSHK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PTNJ0425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PUNJ0425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VTNJ0425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VUNJ0425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VUNJBRCK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PTNJ0811,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PTGAWYNS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PUGAWYNS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PTNJ0241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PTNJ1214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PTNJ0303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PUNJ0303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PTNJ0118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PUNJ0118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PTNJ0116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PUNJ0116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PTGAASTL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PUGAASTL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PTNJ1712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PUNJ1712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PUNCBEAU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VUNCBEAU,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PUNJSTRS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VUNJSTRS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VMNJ0425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PTNJ0205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
VTNJ0205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PTNJ0405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PUNJ0405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PTVAORTN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PUVAORTN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
