SITE_NAME,Swipe_Checkbox?,Imported count,Screenshot name,LOGO Replaced,CSS saved,Redirect done,Undo Swipe,Undo CSS,Undo Redirect,PD_Site_URL,Merchant Code
PRNCBELM,UNCH,0,250826-213626_PRNCBELM_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/2498,35EDM-BELMO-PARKS-W
PRNJ1531,UNCH,0,250826-213631_PRNJ1531_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/2500,35EDM-STAFF-PRKRC-W
PRNYWARV,UNCH,0,250826-213636_PRNYWARV_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/2526,35EDM-WARWI-PARKS-W
PRNJ1209,UNCH,0,250826-213640_PRNJ1209_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/2551,35EDM-METUC-PRWEB-W
PRNJ1311,UNCH,0,250826-213645_PRNJ1311_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/2583,35EDM-DEALB-PRKWB-W
PRNCWHIT,UNCH,0,250826-213649_PRNCWHIT_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/2671,35EDM-WHITE-0RKRC-W
PRNJ0717,UNCH,0,250826-213654_PRNJ0717_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/2806,35EDM-ORANJ-PRWEB-W
PRNJ0507,UNCH,0,250826-213659_PRNJ0507_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/2970,35EDM-CNWUT-PARKR-W
PRNJ1103,UNCH,0,250826-213703_PRNJ1103_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/3083,35EDM-HAMNO-PARKS-W
PRNJ1612,UNCH,0,250826-213708_PRNJ1612_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/3089,35EDM-TOTOW-PARKS-W
PRNJ1405,UNCH,0,250826-213713_PRNJ1405_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/3097,35EDM-CHATH-PARKP-W
PRNJ0624,UNCH,0,250826-213717_PRNJ0624_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/3116,35EDM-WALWI-PRWEB-W
PRPAWASH,UNCH,0,250826-213722_PRPAWASH_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/3272,35EDM-WASHC-PRWEB-W
PRALMLTN,UNCH,0,250826-213726_PRALMLTN_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/3351,35EDM-MOULT-PRWEB-W
PRGAMONR,UNCH,0,250826-213731_PRGAMONR_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/3372,35EDM-MONCO-PRKWP-W
PRNJ1519,UNCH,0,250826-213736_PRNJ1519_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/3403,35EDM-MNCHR-PARKP-W
PRNJ0319,UNCH,0,250826-213740_PRNJ0319_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/3431,35EDM-MAPSH-PRNJ1-W
PRNJ0427,UNCH,0,250826-213745_PRNJ0427_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/3435,35EDM-PENTW-PARWB-W
PRNJ1306,UNCH,0,250826-213750_PRNJ1306_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/3442,35EDM-AVSEA-PRNJ1-W
PRPARIDL,UNCH,0,250826-213754_PRPARIDL_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/3548,35EDM-RIDLY-PRKWP-W
PRPACAVB,UNCH,0,250826-213759_PRPACAVB_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/3596,35EDM-CARVA-PRPA1-W
