SITE_NAME,Swipe_Checkbox?,Imported count,Screenshot name,LOGO Replaced,CSS saved,Redirect done,Undo Swipe,Undo CSS,Undo Redirect,PD_Site_URL,Merchant Code
VUFLEUST,Done,NA,NA,NA,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/319,35EDM-EUSTS-EUSVT-W
VTFLEUST,Done,NA,NA,NA,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/325,35EDM-EUTAX-TAXVT-W
PUNCBURG,Done,NA,NA,NA,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/329,35EDM-BURGA-BPRIN-W
PTNJ0302,Done,NA,NA,NA,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/330,35EDM-COBEV-BPRIN-W
PUVATSH,Done,NA,NA,NA,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/341,35EDM-SHUTL-UTLTY-W
PUKYOAKG,Done,NA,NA,NA,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/345,35EDM-OAKGR-UTILI-W
PTGAACWR,Done,NA,NA,NA,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/346,35EDM-ACWOR-ACTAX-W
PUGAACWR,Done,NA,NA,NA,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/347,35EDM-AWRTH-AWUTI-W
PUGAMCIN,Done,NA,NA,NA,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/348,35EDM-MCITS-MCUTL-W
PTPANCSL,Done,NA,NA,NA,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/349,35EDM-NEWCA-NCTAX-W
PTNJ1515,Done,NA,NA,NA,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/350,35EDM-LAKWD-LATAX-W
PTNJ2005,Done,NA,NA,NA,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/352,35EDM-BFNWD-FWTAX-W
VUNJ1519,Done,NA,NA,NA,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/357,35EDM-MNCHU-MTUVT-W
