SITE_NAME,Swipe_Checkbox?,Imported count,Screenshot name,LOGO Replaced,CSS saved,Redirect done,Undo Swipe,Undo CSS,Undo Redirect,PD_Site_URL,Merchant Code
PUNJ0701,UNCH,1,260826-161449_PUNJ0701_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/1206,35EDM-BELNT-WEBPR-W
PMGABOWD,UNCH,1,260826-161454_PMGABOWD_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/1802,35EDM-BOWDO-MISWB-W
PUNJTMSA,UNCH,1,260826-161459_PUNJTMSA_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/2035,35EDM-MDTSA-NTWEB-W
PCNJ1342,UNCH,1,260826-161503_PCNJ1342_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/2241,35EDM-SBBUT-SEAVW-W
VSNJ0329,UNCH,1,260826-161508_VSNJ0329_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/2418,35EDM-PEMBE-NTTRV-W
VTNYARDS,UNCH,1,260826-161513_VTNYARDS_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/2745,35EDM-ARDSV-TAXVT-W
VTVAKING,UNCH,1,260826-161518_VTVAKING_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/2790,35EDM-KIWIL-KWTVT-W
VANYWTER,UNCH,1,260826-161523_VANYWTER_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/2837,35EDM-WVLIT-NVTAR-W
PUDEMILT,UNCH,1,260826-161527_PUDEMILT_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/3117,35EDM-MITWN-NOWEB-W
PTDEMILT,UNCH,1,260826-161532_PTDEMILT_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/3122,35EDM-MITWN-TAXWB-W
PPNJ1320,UNCH,1,260826-161537_PPNJ1320_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/3196,35EDM-HOTWP-NTWPL-W
PULADERI,UNCH,1,260826-161542_PULADERI_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/3380,35EDM-DERCI-WATNT-W
VSNJ0228,UNCH,1,260826-161546_VSNJ0228_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/3398,35EDM-HOKNJ-WASVT-W
PUNJ1801,UNCH,1,260826-161551_PUNJ1801_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/4101,35EDM-BEDNJ-PUNJ1-W
VMTXCCWS,UNCH,1,260826-161556_VMTXCCWS_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/4129,35EDM-CORTX-VMTX1-W
VMSCPTRT,UNCH,1,260826-161601_VMSCPTRT_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/4192,35EDM-PRTRO-VMSC1-W
PUNYAMST,UNCH,1,260826-161606_PUNYAMST_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/4261,35EDM-AMSNY-PUNY1-W
PUNYWURT,UNCH,1,260826-161610_PUNYWURT_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/4282,35EDM-WURNY-PUNY1-W
PONJ0217,UNCH,1,260826-161615_PONJ0217_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/4478,35EDM-FAIRL-PONJ1-W
VDNJ0217,UNCH,1,260826-161620_VDNJ0217_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/4481,35EDM-FAIRL-VDNJ1-W
