SITE_NAME,Swipe_Checkbox?,Imported count,Screenshot name,LOGO Replaced,CSS saved,Redirect done,Undo Swipe,Undo CSS,Undo Redirect,PD_Site_URL,Merchant Code
PUDEMILT,UNCH,1,Step1_ImportSites_20260825_025641.png,Error,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/3117,35EDM-MITWN-NOWEB-W
PADEMILT,UNCH,0,250826-025925_PADEMILT_after.png,Error,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/3118,35EDM-MITWN-ARWEB-W
VADEMILT,UNCH,0,250826-025949_VADEMILT_after.png,Error,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/3119,35EDM-MITWN-ARVRT-W
VUDEMILT,UNCH,0,250826-030013_VUDEMILT_after.png,Error,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/3120,35EDM-MITWN-NTVRT-W
PTDEMILT,UNCH,1,Step1_ImportSites_20260825_025641.png,Error,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/3122,35EDM-MITWN-TAXWB-W
VTDEMILT,UNCH,0,250826-030107_VTDEMILT_after.png,Error,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/3123,35EDM-MITWN-TAXVT-W
PUNYTOGN,UNCH,0,250826-030131_PUNYTOGN_after.png,Error,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/3125,35EDM-GHTWN-NOWEB-W
PUNYGROT,UNCH,0,250826-030155_PUNYGROT_after.png,Error,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/3128,35EDM-GROTO-GRNTW-W
PASCBELT,UNCH,0,250826-030219_PASCBELT_after.png,Error,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/3132,35EDM-BELTO-ARWEB-W
VMNJ0610,UNCH,0,250826-030243_VMNJ0610_after.png,Error,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/3136,35EDM-MVLNT-MVLN3-W
VTNJ0610,UNCH,0,250826-030307_VTNJ0610_after.png,Error,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/3137,35EDM-MVILL-MVTA2-W
VUNJ0610,UNCH,0,250826-030331_VUNJ0610_after.png,Error,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/3138,35EDM-MVLNT-MVLN2-W
PTNYIRVI,UNCH,0,250826-030355_PTNYIRVI_after.png,Error,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/3139,35EDM-IRVIL-DATAX-W
PTNJ0237,UNCH,0,250826-030419_PTNJ0237_after.png,Error,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/3143,35EDM-MOOBO-DATAX-W
PUNJ0237,UNCH,0,250826-030443_PUNJ0237_after.png,Error,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/3144,35EDM-MOOBO-NTWEB-W
PTNJ1815,UNCH,0,250826-030507_PTNJ1815_after.png,Error,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/3145,35EDM-PGBOR-TAXWB-W
PUNJ1815,UNCH,0,250826-030531_PUNJ1815_after.png,Error,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/3146,35EDM-PGBOR-NTWEB-W
PTNJ1114,UNCH,0,250826-030554_PTNJ1114_after.png,Error,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/3147,35EDM-PRINC-TAXWB-W
PUNJ1114,UNCH,0,250826-030619_PUNJ1114_after.png,Error,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/3148,35EDM-PRINC-NTWEB-W
PUNYWHEA,UNCH,0,250826-030643_PUNYWHEA_after.png,Error,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/3149,35EDM-WHEAT-NTWEB-W
VUNYWHEA,UNCH,0,250826-030707_VUNYWHEA_after.png,Error,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/3150,35EDM-WHEAT-NTVRT-W
PUNJ0420,UNCH,0,250826-030731_PUNJ0420_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/3152,35EDM-LAURE-LSNTW-W
PANJ0112,UNCH,0,250826-030736_PANJ0112_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/3156,35EDM-HAMIL-HMAR1-W
PCNJ0112,UNCH,0,250826-030740_PCNJ0112_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/3157,35EDM-HAMIL-HMVR1-W
VTNYPOUG,UNCH,0,250826-030745_VTNYPOUG_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/3162,35EDM-POKEE-TAXVT-W
PTNYPOUG,UNCH,0,250826-030749_PTNYPOUG_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/3163,35EDM-POKEE-TAXWB-W
PCNJ2001,UNCH,0,250826-030754_PCNJ2001_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/3165,35EDM-BERKE-BNTVW-W
PTNJ1430,UNCH,0,250826-030759_PTNJ1430_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/3168,35EDM-LNGHL-TAXWB-W
PTNJ1411,UNCH,0,250826-030803_PTNJ1411_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/3169,35EDM-FLHAM-TAXWB-W
PSNJ1411,UNCH,0,250826-030808_PSNJ1411_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/3170,35EDM-FLHAM-SEWWB-W
PUNJ1411,UNCH,0,250826-030813_PUNJ1411_after.png,Yes,Yes,Yes,NA,NA,NA,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/3171,35EDM-FLHAM-H20WB-W
