SITE_NAME,Swipe_Checkbox?,Imported count,Screenshot name,LOGO Replaced,CSS saved,Redirect done,Undo Swipe,Undo CSS,Undo Redirect,PD_Site_URL,Merchant Code
PTDE23,NA,NA,NA,NA,NA,NA,Yes,Yes,Yes,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/1535,35EDM-MIDTW-TAXWB-W
PUDE23,NA,NA,NA,NA,NA,NA,Yes,Yes,Yes,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/1536,35EDM-MIDTW-NTWEB-W
VTDE23,NA,NA,NA,NA,NA,NA,Yes,Yes,Yes,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/1537,35EDM-MIDTW-TAXVT-W
VUDE23,NA,NA,NA,NA,NA,NA,Yes,Yes,Yes,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/1538,35EDM-MIDTW-NTXVT-W
VMDE23,NA,NA,NA,NA,NA,NA,Yes,Yes,Yes,http://p5zlgintc01:16020/PayDirect/Merchant/Edit/1539,35EDM-MIDTW-MISVT-W
